"wl","avg.v.u","avg.v.s","avg.v.m","avg.v.l"
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,0,0,0
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,2.33300018664001e-05,0,0,0
317,0.000148560011884801,0,0,0
318,0.000271600021728002,0,0,0
319,0.000392420031393602,0,0,0
320,0.000510980040878403,0,0,0
321,0.000627240050179204,0,0,0
322,0.000741210059296805,0,0,0
323,0.000852880068230405,0,0,0
324,0.000962280076982406,0,0,0
325,0.00106943008555441,0,0,0
326,0.00117438009395041,0,0,0
327,0.00127720010217601,0,0,0
328,0.00137797011023761,0,0,0
329,0.00147678011814241,0,0,0
330,0.00157373012589841,0,0,0
331,0.00166897013351761,0,0,0
332,0.00176263014101041,0,0,0
333,0.00185487014838961,0,0,0
334,0.00194585015566801,0,0,0
335,0.00203576016286081,0,0,0
336,0.00212478016998241,0,0,0
337,0.00221312017704961,0,0,0
338,0.00230099018407921,0,0,0
339,0.00238860019108802,0,0,0
340,0.00247618019809442,0,0,0
341,0.00256396020511682,0,0,0
342,0.00265215021217202,0,0,0
343,0.00274099021927922,0,0,0
344,0.00283070022645602,0,0,0
345,0.00292151023372082,0,0,0
346,0.00301363024109042,0,0,0
347,0.00310728024858242,0,0,0
348,0.00320265025621202,0,0,0
349,0.00329994026399522,0,0,0
350,0.00339933027194642,0,0,0
351,0.00350098028007842,0,0,0
352,0.00360505028840402,0,0,0
353,0.00371168029693442,0,0,0
354,0.00382098030567842,0,0,0
355,0.00393306031464483,0,0,0
356,0.00404800032384003,0,0,0
357,0.00416586033326883,0,0,0
358,0.00428668034293443,0,0,0
359,0.00441050035284003,0,0,0
360,0.00453732036298563,0,0,0
361,0.00466712037336963,0,0,0
362,0.00479986038398883,0,0,0
363,0.00493549039483923,0,0,0
364,0.00507393040591443,0,0,0
365,0.00521510041720803,0,0,0
366,0.00535888042871043,0,0,0
367,0.00550514044041124,0,0,0
368,0.00565375045230004,0,0,0
369,0.00580454046436324,0,0,0
370,0.00595735047658804,0,0,0
371,0.00611198048895844,0,0,0
372,0.00626826050146084,0,0,0
373,0.00642596051407684,0,0,0
374,0.00658488052679044,0,0,0
375,0.00674480053958404,0,0,0
376,0.00690548055243844,0,0,0
377,0.00706670056533605,0,0,0
378,0.00722822057825765,0,0,0
379,0.00738980059118405,0,0,0
380,0.00755118060409445,0,0,0
381,0.00771214061697125,0,0,0
382,0.00787242062979365,0,0,0
383,0.00803177064254165,0,0,0
384,0.00818996065519685,0,0,0
385,0.00834673066773845,0,0,0
386,0.00850185068014805,0,0,0
387,0.00865507069240566,0,0,0
388,0.00880616070449286,0,0,0
389,0.00895487071638966,0,0,0
390,0.00910099072807926,0,0,0
391,0.00924426073954086,0,0,0
392,0.00938447075075766,0,0,0
393,0.00952139076171126,0,0,0
394,0.00965479077238326,0,0,0
395,0.00978445078275606,0,0,0
396,0.00991016079281286,0,0,0
397,0.0100316808025345,0,0,0
398,0.0101488108119049,0,0,0
399,0.0102613308209065,0,0,0
400,0.0103690308295225,0,0,0
401,0.0104716808377345,0,0,0
402,0.0105690908455273,0,0,0
403,0.0106610308528825,0,0,0
404,0.0107473008597841,0,0,0
405,0.0108276808662145,0,0,0
406,0.0109019608721569,0,0,0
407,0.0109699308775945,0,0,0
408,0.0110314008825121,0,0,0
409,0.0110861408868913,0,0,0
410,0.0111339508907161,0,0,0
411,0.0111746208939697,0,0,0
412,0.0112079708966377,0,0,0
413,0.0112337808987025,0,0,0
414,0.0112518709001497,0,0,0
415,0.0112620509009641,0,0,0
416,0.0112641309011305,0,0,0
417,0.0112579409006353,0,0,0
418,0.0112433108994649,0,0,0
419,0.0112200908976073,0,0,0
420,0.0111881208950497,0,0,0
421,0.0111472808917825,0,0,0
422,0.0110974508877961,0,0,0
423,0.0110385108830809,0,0,0
424,0.0109703808776305,0,0,0
425,0.0108930008714401,0,0,0
426,0.0108063208645057,0,0,0
427,0.0107103108568249,0,0,0
428,0.0106049708483977,1.00000004e-08,0,0
429,0.0104903108392249,2.00000008e-08,0,0
430,0.0103664008293121,7.00000028000001e-08,0,0
431,0.0102333108186649,2.00000008e-07,0,0
432,0.0100911408072913,5.50000022000001e-07,0,0
433,0.00994003079520246,1.3700000548e-06,0,0
434,0.00978015078241206,3.17000012680001e-06,0,0
435,0.00961170076893606,6.84000027360001e-06,0,0
436,0.00943489075479126,1.38600005544e-05,0,0
437,0.00925001074000086,2.64400010576e-05,0,0
438,0.00905735072458806,4.78000019120001e-05,0,0
439,0.00885722070857766,8.22300032892001e-05,0,0
440,0.00865001069200085,0.000135150005406,0,0
441,0.00843610067488805,0.0002130700085228,0,0
442,0.00821592065727365,0.000323300012932001,0,0
443,0.00798993063919445,0.000473660018946401,0,0
444,0.00775863062069045,0.000671990026879601,0,0
445,0.00752252060180165,0.000925660037026402,0,0
446,0.00728217058257365,0.0012410700496428,0,0
