,a,b
274.64,0.574823,0.608123
276.53,0.582525,0.599965
278.41,0.585763,0.618733
280.3,0.59045,0.595407
282.19,0.581297,0.59776
284.07,0.583075,0.601004
285.96,0.595582,0.604794
287.84,0.582657,0.58993
289.73,0.586697,0.604263
291.61,0.595441,0.606752
293.5,0.589425,0.598642
295.38,0.580983,0.605834
297.26,0.590062,0.608204
299.15,0.601804,0.607377
301.03,0.603224,0.601444
302.91,0.610212,0.621618
304.79,0.58794,0.581552
306.67,0.570637,0.57585
308.55,0.550766,0.524108
310.44,0.519559,0.494122
312.32,0.466165,0.441333
314.2,0.437086,0.386174
316.08,0.386674,0.334823
317.96,0.353874,0.277303
319.83,0.325939,0.242375
321.71,0.299999,0.204744
323.59,0.280581,0.179666
325.47,0.276414,0.16471
327.35,0.261733,0.147044
329.22,0.249223,0.133582
331.1,0.243548,0.125567
332.98,0.239137,0.119637
334.85,0.235308,0.110572
336.73,0.230077,0.103807
338.61,0.226484,0.09826
340.48,0.226782,0.094393
342.36,0.227147,0.091565
344.23,0.227825,0.089231
346.1,0.226259,0.088479
347.98,0.226616,0.084803
349.85,0.225579,0.083186
351.72,0.224966,0.083793
353.6,0.222255,0.081342
355.47,0.223172,0.07929
357.34,0.225962,0.079748
359.21,0.231062,0.078062
361.08,0.234684,0.076716
362.95,0.236208,0.073069
364.83,0.237316,0.07282
366.7,0.241537,0.069449
368.57,0.247012,0.068603
370.43,0.247941,0.066209
372.3,0.247417,0.064295
374.17,0.252431,0.061731
376.04,0.256117,0.059979
377.91,0.258596,0.057882
379.78,0.257963,0.055822
381.64,0.262122,0.054425
383.51,0.268676,0.053612
385.38,0.271527,0.05317
387.24,0.268638,0.051604
389.11,0.270715,0.050721
390.98,0.275552,0.050835
392.84,0.279306,0.049198
394.71,0.283445,0.048644
396.57,0.286338,0.047799
398.44,0.29209,0.04805
400.3,0.302123,0.047699
402.16,0.312527,0.047176
404.03,0.315922,0.048561
405.89,0.316355,0.049231
407.75,0.321761,0.049006
409.61,0.325634,0.049629
411.47,0.327137,0.051015
413.34,0.329803,0.052444
415.2,0.328746,0.053433
417.06,0.330632,0.053754
418.92,0.330076,0.054524
420.78,0.328702,0.054915
422.64,0.331325,0.0545
424.5,0.337371,0.054267
426.36,0.343407,0.05434
428.21,0.33818,0.054195
430.07,0.335913,0.053921
431.93,0.332052,0.054145
433.79,0.322683,0.053994
435.65,0.316689,0.053658
437.5,0.310782,0.054218
439.36,0.307022,0.055297
441.22,0.307317,0.055616
443.07,0.305308,0.055756
444.93,0.306162,0.055497
446.78,0.303255,0.05474
448.64,0.29673,0.052985
450.49,0.289307,0.052765
452.34,0.283842,0.053478
454.2,0.277564,0.053455
456.05,0.266221,0.053344
457.9,0.253643,0.053628
459.76,0.244758,0.05299
461.61,0.242226,0.053472
463.46,0.24101,0.055018
465.31,0.230959,0.053125
467.16,0.225271,0.054035
469.01,0.220227,0.056155
470.86,0.211256,0.056068
472.72,0.20597,0.05684
474.56,0.202131,0.05816
476.41,0.197386,0.058307
478.26,0.188749,0.057388
480.11,0.182416,0.056789
481.96,0.17522,0.057135
483.81,0.170161,0.058221
485.66,0.165233,0.059449
487.5,0.157956,0.059631
489.35,0.153289,0.059111
491.2,0.147055,0.059128
493.04,0.143427,0.06084
494.89,0.13928,0.062301
496.73,0.134772,0.064808
498.58,0.130284,0.067034
500.42,0.126682,0.070483
502.27,0.126135,0.074893
504.11,0.125779,0.082758
505.96,0.12483,0.093338
507.8,0.122208,0.105571
509.64,0.120773,0.120511
511.49,0.11806,0.136534
513.33,0.116657,0.154055
515.17,0.114959,0.170382
517.01,0.111101,0.184612
518.85,0.109164,0.19748
520.69,0.110079,0.210219
522.54,0.109059,0.221375
524.38,0.107015,0.232548
526.22,0.10576,0.24402
528.06,0.103122,0.252428
529.89,0.10132,0.260183
531.73,0.099892,0.269645
533.57,0.100016,0.276203
535.41,0.100393,0.281846
537.25,0.09895,0.290242
539.09,0.09749,0.297071
540.92,0.096405,0.30359
542.76,0.096157,0.310994
544.6,0.096507,0.318259
546.43,0.097264,0.323481
548.27,0.097807,0.329523
550.1,0.097643,0.333983
551.94,0.097289,0.339295
553.77,0.096029,0.342642
555.61,0.095782,0.346483
557.44,0.095302,0.35156
559.27,0.095243,0.356009
561.11,0.095682,0.360972
562.94,0.096335,0.366419
564.77,0.095886,0.372087
566.6,0.096945,0.377089
568.44,0.098076,0.382092
570.27,0.099299,0.384529
572.1,0.100831,0.386695
573.93,0.10161,0.392088
575.76,0.101315,0.396269
577.59,0.101966,0.399062
579.42,0.103161,0.403192
581.25,0.10449,0.40706
583.08,0.104176,0.410742
584.91,0.105221,0.413581
586.73,0.10549,0.416955
588.56,0.105273,0.419997
590.39,0.106017,0.423658
592.22,0.105814,0.425547
594.04,0.107646,0.43049
595.87,0.109998,0.434963
597.7,0.111023,0.438458
599.52,0.111805,0.442215
601.35,0.112036,0.445363
603.17,0.112433,0.448307
